id,ticker,true_label,comment_text
480,GOOGL,bearish,"Selling my GOOGL position, the chart looks weak."
481,TSLA,spam,Invest in Bitcoin now! 💰
482,GOOGL,bullish,"Ignore the FUD, GOOGL is going to $1000."
483,TSLA,bearish,"Management is selling shares, get out of TSLA now!"
484,NVDA,neutral,Just analyzing the chart for NVDA.
485,AAPL,neutral,First view!
486,NVDA,bearish,The valuation makes no sense. NVDA is overvalued.
487,COIN,bearish,"Selling my COIN position, the chart looks weak."
488,TSLA,spam,CLICK HERE FOR FREE MONEY
489,AMD,bearish,"I lost so much money on AMD, never again."
490,MSFT,spam,Start earning $5000 weekly with Mr. James.
491,AMD,bearish,Revenue missed expectations. AMD is done.
492,TSLA,spam,Are you tired of losing? Join my telegram.
493,COIN,neutral,Can you cover COIN in the next video?
494,GOOGL,bearish,Shorting GOOGL with everything I have.
495,GOOGL,neutral,"Interesting video, thanks for the analysis."
496,GOOGL,bullish,GOOGL to the moon! 🚀🚀
497,AAPL,bearish,"I lost so much money on AAPL, never again."
498,MSFT,bearish,Revenue missed expectations. MSFT is done.
499,COIN,bearish,Dead cat bounce. COIN is going to crash.
500,PLTR,neutral,What do you think is a good entry price for PLTR?
